,Présent,Imparfait,Passé simple,Futur simple,Passé composé,Plus-que-parfait,Passé antérieur,Futur antérieur,Subjonctif Présent,Subjonctif Passé,Subjonctif Imparfait,Subjonctif Plus-que-parfait,Conditionnel Présent,Conditionnel Passé
être,"['suis', 'es', 'est', 'sommes', 'êtes', 'sont']","['étais', 'étais', 'était', 'étions', 'étiez', 'étaient']","['fus', 'fus', 'fut', 'fûmes', 'fûtes', 'furent']","['serai', 'seras', 'sera', 'serons', 'serez', 'seront']","['ai été', 'as été', 'a été', 'avons été', 'avez été', 'ont été']","['avais été', 'avais été', 'avait été', 'avions été', 'aviez été', 'avaient été']","['eus été', 'eus été', 'eut été', 'eûmes été', 'eûtes été', 'eurent été']","['aurai été', 'auras été', 'aura été', 'aurons été', 'aurez été', 'auront été']","['sois', 'sois', 'soit', 'soyons', 'soyez', 'soient']","['aie été', 'aies été', 'ait été', 'ayons été', 'ayez été', 'aient été']","['fusse', 'fusses', 'fût', 'fussions', 'fussiez', 'fussent']","['eusse été', 'eusses été', 'eût été', 'eussions été', 'eussiez été', 'eussent été']","['serais', 'serais', 'serait', 'serions', 'seriez', 'seraient']","['aurais été', 'aurais été', 'aurait été', 'aurions été', 'auriez été', 'auraient été']"
avoir,"['ai', 'as', 'a', 'avons', 'avez', 'ont']","['avais', 'avais', 'avait', 'avions', 'aviez', 'avaient']","['eus', 'eus', 'eut', 'eûmes', 'eûtes', 'eurent']","['aurai', 'auras', 'aura', 'aurons', 'aurez', 'auront']","['ai eu', 'as eu', 'a eu', 'avons eu', 'avez eu', 'ont eu']","['avais eu', 'avais eu', 'avait eu', 'avions eu', 'aviez eu', 'avaient eu']","['eus eu', 'eus eu', 'eut eu', 'eûmes eu', 'eûtes eu', 'eurent eu']","['aurai eu', 'auras eu', 'aura eu', 'aurons eu', 'aurez eu', 'auront eu']","['aie', 'aies', 'ait', 'ayons', 'ayez', 'aient']","['aie eu', 'aies eu', 'ait eu', 'ayons eu', 'ayez eu', 'aient eu']","['eusse', 'eusses', 'eût', 'eussions', 'eussiez', 'eussent']","['eusse eu', 'eusses eu', 'eût eu', 'eussions eu', 'eussiez eu', 'eussent eu']","['aurais', 'aurais', 'aurait', 'aurions', 'auriez', 'auraient']","['aurais eu', 'aurais eu', 'aurait eu', 'aurions eu', 'auriez eu', 'auraient eu']"
faire,"['fais', 'fais', 'fait', 'faisons', 'faites', 'font']","['faisais', 'faisais', 'faisait', 'faisions', 'faisiez', 'faisaient']","['fis', 'fis', 'fit', 'fîmes', 'fîtes', 'firent']","['ferai', 'feras', 'fera', 'ferons', 'ferez', 'feront']","['ai fait', 'as fait', 'a fait', 'avons fait', 'avez fait', 'ont fait']","['avais fait', 'avais fait', 'avait fait', 'avions fait', 'aviez fait', 'avaient fait']","['eus fait', 'eus fait', 'eut fait', 'eûmes fait', 'eûtes fait', 'eurent fait']","['aurai fait', 'auras fait', 'aura fait', 'aurons fait', 'aurez fait', 'auront fait']","['fasse', 'fasses', 'fasse', 'fassions', 'fassiez', 'fassent']","['aie fait', 'aies fait', 'ait fait', 'ayons fait', 'ayez fait', 'aient fait']","['fisse', 'fisses', 'fît', 'fissions', 'fissiez', 'fissent']","['eusse fait', 'eusses fait', 'eût fait', 'eussions fait', 'eussiez fait', 'eussent fait']","['ferais', 'ferais', 'ferait', 'ferions', 'feriez', 'feraient']","['aurais fait', 'aurais fait', 'aurait fait', 'aurions fait', 'auriez fait', 'auraient fait']"
pouvoir,"['peux | puis', 'peux', 'peut', 'pouvons', 'pouvez', 'peuvent']","['pouvais', 'pouvais', 'pouvait', 'pouvions', 'pouviez', 'pouvaient']","['pus', 'pus', 'put', 'pûmes', 'pûtes', 'purent']","['pourrai', 'pourras', 'pourra', 'pourrons', 'pourrez', 'pourront']","['ai pu', 'as pu', 'a pu', 'avons pu', 'avez pu', 'ont pu']","['avais pu', 'avais pu', 'avait pu', 'avions pu', 'aviez pu', 'avaient pu']","['eus pu', 'eus pu', 'eut pu', 'eûmes pu', 'eûtes pu', 'eurent pu']","['aurai pu', 'auras pu', 'aura pu', 'aurons pu', 'aurez pu', 'auront pu']","['puisse', 'puisses', 'puisse', 'puissions', 'puissiez', 'puissent']","['aie pu', 'aies pu', 'ait pu', 'ayons pu', 'ayez pu', 'aient pu']","['pusse', 'pusses', 'pût', 'pussions', 'pussiez', 'pussent']","['eusse pu', 'eusses pu', 'eût pu', 'eussions pu', 'eussiez pu', 'eussent pu']","['pourrais', 'pourrais', 'pourrait', 'pourrions', 'pourriez', 'pourraient']","['aurais pu', 'aurais pu', 'aurait pu', 'aurions pu', 'auriez pu', 'auraient pu']"
dire,"['dis', 'dis', 'dit', 'disons', 'dites', 'disent']","['disais', 'disais', 'disait', 'disions', 'disiez', 'disaient']","['dis', 'dis', 'dit', 'dîmes', 'dîtes', 'dirent']","['dirai', 'diras', 'dira', 'dirons', 'direz', 'diront']","['ai dit', 'as dit', 'a dit', 'avons dit', 'avez dit', 'ont dit']","['avais dit', 'avais dit', 'avait dit', 'avions dit', 'aviez dit', 'avaient dit']","['eus dit', 'eus dit', 'eut dit', 'eûmes dit', 'eûtes dit', 'eurent dit']","['aurai dit', 'auras dit', 'aura dit', 'aurons dit', 'aurez dit', 'auront dit']","['dise', 'dises', 'dise', 'disions', 'disiez', 'disent']","['aie dit', 'aies dit', 'ait dit', 'ayons dit', 'ayez dit', 'aient dit']","['disse', 'disses', 'dît', 'dissions', 'dissiez', 'dissent']","['eusse dit', 'eusses dit', 'eût dit', 'eussions dit', 'eussiez dit', 'eussent dit']","['dirais', 'dirais', 'dirait', 'dirions', 'diriez', 'diraient']","['aurais dit', 'aurais dit', 'aurait dit', 'aurions dit', 'auriez dit', 'auraient dit']"
aller,"['vais', 'vas', 'va', 'allons', 'allez', 'vont']","['allais', 'allais', 'allait', 'allions', 'alliez', 'allaient']","['allai', 'allas', 'alla', 'allâmes', 'allâtes', 'allèrent']","['irai', 'iras', 'ira', 'irons', 'irez', 'iront']","['suis allé', 'es allé', 'est allé', 'sommes allés', 'êtes allés', 'sont allés']","['étais allé', 'étais allé', 'était allé', 'étions allés', 'étiez allés', 'étaient allés']","['fus allé', 'fus allé', 'fut allé', 'fûmes allés', 'fûtes allés', 'furent allés']","['serai allé', 'seras allé', 'sera allé', 'serons allés', 'serez allés', 'seront allés']","['aille', 'ailles', 'aille', 'allions', 'alliez', 'aillent']","['sois allé', 'sois allé', 'soit allé', 'soyons allés', 'soyez allés', 'soient allés']","['allasse', 'allasses', 'allât', 'allassions', 'allassiez', 'allassent']","['fusse allé', 'fusses allé', 'fût allé', 'fussions allés', 'fussiez allés', 'fussent allés']","['irais', 'irais', 'irait', 'irions', 'iriez', 'iraient']","['serais allé', 'serais allé', 'serait allé', 'serions allés', 'seriez allés', 'seraient allés']"
voir,"['vois', 'vois', 'voit', 'voyons', 'voyez', 'voient']","['voyais', 'voyais', 'voyait', 'voyions', 'voyiez', 'voyaient']","['vis', 'vis', 'vit', 'vîmes', 'vîtes', 'virent']","['verrai', 'verras', 'verra', 'verrons', 'verrez', 'verront']","['ai vu', 'as vu', 'a vu', 'avons vu', 'avez vu', 'ont vu']","['avais vu', 'avais vu', 'avait vu', 'avions vu', 'aviez vu', 'avaient vu']","['eus vu', 'eus vu', 'eut vu', 'eûmes vu', 'eûtes vu', 'eurent vu']","['aurai vu', 'auras vu', 'aura vu', 'aurons vu', 'aurez vu', 'auront vu']","['voie', 'voies', 'voie', 'voyions', 'voyiez', 'voient']","['aie vu', 'aies vu', 'ait vu', 'ayons vu', 'ayez vu', 'aient vu']","['visse', 'visses', 'vît', 'vissions', 'vissiez', 'vissent']","['eusse vu', 'eusses vu', 'eût vu', 'eussions vu', 'eussiez vu', 'eussent vu']","['verrais', 'verrais', 'verrait', 'verrions', 'verriez', 'verraient']","['aurais vu', 'aurais vu', 'aurait vu', 'aurions vu', 'auriez vu', 'auraient vu']"
savoir,"['sais', 'sais', 'sait', 'savons', 'savez', 'savent']","['savais', 'savais', 'savait', 'savions', 'saviez', 'savaient']","['sus', 'sus', 'sut', 'sûmes', 'sûtes', 'surent']","['saurai', 'sauras', 'saura', 'saurons', 'saurez', 'sauront']","['ai su', 'as su', 'a su', 'avons su', 'avez su', 'ont su']","['avais su', 'avais su', 'avait su', 'avions su', 'aviez su', 'avaient su']","['eus su', 'eus su', 'eut su', 'eûmes su', 'eûtes su', 'eurent su']","['aurai su', 'auras su', 'aura su', 'aurons su', 'aurez su', 'auront su']","['sache', 'saches', 'sache', 'sachions', 'sachiez', 'sachent']","['aie su', 'aies su', 'ait su', 'ayons su', 'ayez su', 'aient su']","['susse', 'susses', 'sût', 'sussions', 'sussiez', 'sussent']","['eusse su', 'eusses su', 'eût su', 'eussions su', 'eussiez su', 'eussent su']","['saurais', 'saurais', 'saurait', 'saurions', 'sauriez', 'sauraient']","['aurais su', 'aurais su', 'aurait su', 'aurions su', 'auriez su', 'auraient su']"
vouloir,"['veux', 'veux', 'veut', 'voulons', 'voulez', 'veulent']","['voulais', 'voulais', 'voulait', 'voulions', 'vouliez', 'voulaient']","['voulus', 'voulus', 'voulut', 'voulûmes', 'voulûtes', 'voulurent']","['voudrai', 'voudras', 'voudra', 'voudrons', 'voudrez', 'voudront']","['ai voulu', 'as voulu', 'a voulu', 'avons voulu', 'avez voulu', 'ont voulu']","['avais voulu', 'avais voulu', 'avait voulu', 'avions voulu', 'aviez voulu', 'avaient voulu']","['eus voulu', 'eus voulu', 'eut voulu', 'eûmes voulu', 'eûtes voulu', 'eurent voulu']","['aurai voulu', 'auras voulu', 'aura voulu', 'aurons voulu', 'aurez voulu', 'auront voulu']","['veuille', 'veuilles', 'veuille', 'voulions', 'vouliez', 'veuillent']","['aie voulu', 'aies voulu', 'ait voulu', 'ayons voulu', 'ayez voulu', 'aient voulu']","['voulusse', 'voulusses', 'voulût', 'voulussions', 'voulussiez', 'voulussent']","['eusse voulu', 'eusses voulu', 'eût voulu', 'eussions voulu', 'eussiez voulu', 'eussent voulu']","['voudrais', 'voudrais', 'voudrait', 'voudrions', 'voudriez', 'voudraient']","['aurais voulu', 'aurais voulu', 'aurait voulu', 'aurions voulu', 'auriez voulu', 'auraient voulu']"
venir,"['viens', 'viens', 'vient', 'venons', 'venez', 'viennent']","['venais', 'venais', 'venait', 'venions', 'veniez', 'venaient']","['vins', 'vins', 'vint', 'vînmes', 'vîntes', 'vinrent']","['viendrai', 'viendras', 'viendra', 'viendrons', 'viendrez', 'viendront']","['suis venu', 'es venu', 'est venu', 'sommes venus', 'êtes venus', 'sont venus']","['étais venu', 'étais venu', 'était venu', 'étions venus', 'étiez venus', 'étaient venus']","['fus venu', 'fus venu', 'fut venu', 'fûmes venus', 'fûtes venus', 'furent venus']","['serai venu', 'seras venu', 'sera venu', 'serons venus', 'serez venus', 'seront venus']","['vienne', 'viennes', 'vienne', 'venions', 'veniez', 'viennent']","['sois venu', 'sois venu', 'soit venu', 'soyons venus', 'soyez venus', 'soient venus']","['vinsse', 'vinsses', 'vînt', 'vinssions', 'vinssiez', 'vinssent']","['fusse venu', 'fusses venu', 'fût venu', 'fussions venus', 'fussiez venus', 'fussent venus']","['viendrais', 'viendrais', 'viendrait', 'viendrions', 'viendriez', 'viendraient']","['serais venu', 'serais venu', 'serait venu', 'serions venus', 'seriez venus', 'seraient venus']"
devoir,"['dois', 'dois', 'doit', 'devons', 'devez', 'doivent']","['devais', 'devais', 'devait', 'devions', 'deviez', 'devaient']","['dus', 'dus', 'dut', 'dûmes', 'dûtes', 'durent']","['devrai', 'devras', 'devra', 'devrons', 'devrez', 'devront']","['ai dû', 'as dû', 'a dû', 'avons dû', 'avez dû', 'ont dû']","['avais dû', 'avais dû', 'avait dû', 'avions dû', 'aviez dû', 'avaient dû']","['eus dû', 'eus dû', 'eut dû', 'eûmes dû', 'eûtes dû', 'eurent dû']","['aurai dû', 'auras dû', 'aura dû', 'aurons dû', 'aurez dû', 'auront dû']","['doive', 'doives', 'doive', 'devions', 'deviez', 'doivent']","['aie dû', 'aies dû', 'ait dû', 'ayons dû', 'ayez dû', 'aient dû']","['dusse', 'dusses', 'dût', 'dussions', 'dussiez', 'dussent']","['eusse dû', 'eusses dû', 'eût dû', 'eussions dû', 'eussiez dû', 'eussent dû']","['devrais', 'devrais', 'devrait', 'devrions', 'devriez', 'devraient']","['aurais dû', 'aurais dû', 'aurait dû', 'aurions dû', 'auriez dû', 'auraient dû']"
croire,"['crois', 'crois', 'croit', 'croyons', 'croyez', 'croient']","['croyais', 'croyais', 'croyait', 'croyions', 'croyiez', 'croyaient']","['crus', 'crus', 'crut', 'crûmes', 'crûtes', 'crurent']","['croirai', 'croiras', 'croira', 'croirons', 'croirez', 'croiront']","['ai cru', 'as cru', 'a cru', 'avons cru', 'avez cru', 'ont cru']","['avais cru', 'avais cru', 'avait cru', 'avions cru', 'aviez cru', 'avaient cru']","['eus cru', 'eus cru', 'eut cru', 'eûmes cru', 'eûtes cru', 'eurent cru']","['aurai cru', 'auras cru', 'aura cru', 'aurons cru', 'aurez cru', 'auront cru']","['croie', 'croies', 'croie', 'croyions', 'croyiez', 'croient']","['aie cru', 'aies cru', 'ait cru', 'ayons cru', 'ayez cru', 'aient cru']","['crusse', 'crusses', 'crût', 'crussions', 'crussiez', 'crussent']","['eusse cru', 'eusses cru', 'eût cru', 'eussions cru', 'eussiez cru', 'eussent cru']","['croirais', 'croirais', 'croirait', 'croirions', 'croiriez', 'croiraient']","['aurais cru', 'aurais cru', 'aurait cru', 'aurions cru', 'auriez cru', 'auraient cru']"
prendre,"['prends', 'prends', 'prend', 'prenons', 'prenez', 'prennent']","['prenais', 'prenais', 'prenait', 'prenions', 'preniez', 'prenaient']","['pris', 'pris', 'prit', 'prîmes', 'prîtes', 'prirent']","['prendrai', 'prendras', 'prendra', 'prendrons', 'prendrez', 'prendront']","['ai pris', 'as pris', 'a pris', 'avons pris', 'avez pris', 'ont pris']","['avais pris', 'avais pris', 'avait pris', 'avions pris', 'aviez pris', 'avaient pris']","['eus pris', 'eus pris', 'eut pris', 'eûmes pris', 'eûtes pris', 'eurent pris']","['aurai pris', 'auras pris', 'aura pris', 'aurons pris', 'aurez pris', 'auront pris']","['prenne', 'prennes', 'prenne', 'prenions', 'preniez', 'prennent']","['aie pris', 'aies pris', 'ait pris', 'ayons pris', 'ayez pris', 'aient pris']","['prisse', 'prisses', 'prît', 'prissions', 'prissiez', 'prissent']","['eusse pris', 'eusses pris', 'eût pris', 'eussions pris', 'eussiez pris', 'eussent pris']","['prendrais', 'prendrais', 'prendrait', 'prendrions', 'prendriez', 'prendraient']","['aurais pris', 'aurais pris', 'aurait pris', 'aurions pris', 'auriez pris', 'auraient pris']"
mettre,"['mets', 'mets', 'met', 'mettons', 'mettez', 'mettent']","['mettais', 'mettais', 'mettait', 'mettions', 'mettiez', 'mettaient']","['mis', 'mis', 'mit', 'mîmes', 'mîtes', 'mirent']","['mettrai', 'mettras', 'mettra', 'mettrons', 'mettrez', 'mettront']","['ai mis', 'as mis', 'a mis', 'avons mis', 'avez mis', 'ont mis']","['avais mis', 'avais mis', 'avait mis', 'avions mis', 'aviez mis', 'avaient mis']","['eus mis', 'eus mis', 'eut mis', 'eûmes mis', 'eûtes mis', 'eurent mis']","['aurai mis', 'auras mis', 'aura mis', 'aurons mis', 'aurez mis', 'auront mis']","['mette', 'mettes', 'mette', 'mettions', 'mettiez', 'mettent']","['aie mis', 'aies mis', 'ait mis', 'ayons mis', 'ayez mis', 'aient mis']","['misse', 'misses', 'mît', 'missions', 'missiez', 'missent']","['eusse mis', 'eusses mis', 'eût mis', 'eussions mis', 'eussiez mis', 'eussent mis']","['mettrais', 'mettrais', 'mettrait', 'mettrions', 'mettriez', 'mettraient']","['aurais mis', 'aurais mis', 'aurait mis', 'aurions mis', 'auriez mis', 'auraient mis']"
trouver,"['trouve', 'trouves', 'trouve', 'trouvons', 'trouvez', 'trouvent']","['trouvais', 'trouvais', 'trouvait', 'trouvions', 'trouviez', 'trouvaient']","['trouvai', 'trouvas', 'trouva', 'trouvâmes', 'trouvâtes', 'trouvèrent']","['trouverai', 'trouveras', 'trouvera', 'trouverons', 'trouverez', 'trouveront']","['ai trouvé', 'as trouvé', 'a trouvé', 'avons trouvé', 'avez trouvé', 'ont trouvé']","['avais trouvé', 'avais trouvé', 'avait trouvé', 'avions trouvé', 'aviez trouvé', 'avaient trouvé']","['eus trouvé', 'eus trouvé', 'eut trouvé', 'eûmes trouvé', 'eûtes trouvé', 'eurent trouvé']","['aurai trouvé', 'auras trouvé', 'aura trouvé', 'aurons trouvé', 'aurez trouvé', 'auront trouvé']","['trouve', 'trouves', 'trouve', 'trouvions', 'trouviez', 'trouvent']","['aie trouvé', 'aies trouvé', 'ait trouvé', 'ayons trouvé', 'ayez trouvé', 'aient trouvé']","['trouvasse', 'trouvasses', 'trouvât', 'trouvassions', 'trouvassiez', 'trouvassent']","['eusse trouvé', 'eusses trouvé', 'eût trouvé', 'eussions trouvé', 'eussiez trouvé', 'eussent trouvé']","['trouverais', 'trouverais', 'trouverait', 'trouverions', 'trouveriez', 'trouveraient']","['aurais trouvé', 'aurais trouvé', 'aurait trouvé', 'aurions trouvé', 'auriez trouvé', 'auraient trouvé']"
donner,"['donne', 'donnes', 'donne', 'donnons', 'donnez', 'donnent']","['donnais', 'donnais', 'donnait', 'donnions', 'donniez', 'donnaient']","['donnai', 'donnas', 'donna', 'donnâmes', 'donnâtes', 'donnèrent']","['donnerai', 'donneras', 'donnera', 'donnerons', 'donnerez', 'donneront']","['ai donné', 'as donné', 'a donné', 'avons donné', 'avez donné', 'ont donné']","['avais donné', 'avais donné', 'avait donné', 'avions donné', 'aviez donné', 'avaient donné']","['eus donné', 'eus donné', 'eut donné', 'eûmes donné', 'eûtes donné', 'eurent donné']","['aurai donné', 'auras donné', 'aura donné', 'aurons donné', 'aurez donné', 'auront donné']","['donne', 'donnes', 'donne', 'donnions', 'donniez', 'donnent']","['aie donné', 'aies donné', 'ait donné', 'ayons donné', 'ayez donné', 'aient donné']","['donnasse', 'donnasses', 'donnât', 'donnassions', 'donnassiez', 'donnassent']","['eusse donné', 'eusses donné', 'eût donné', 'eussions donné', 'eussiez donné', 'eussent donné']","['donnerais', 'donnerais', 'donnerait', 'donnerions', 'donneriez', 'donneraient']","['aurais donné', 'aurais donné', 'aurait donné', 'aurions donné', 'auriez donné', 'auraient donné']"
