,presente,imperfecto,indefinido,futuro,condicional,perfecto,pluscuamperfecto,pretérito anterior,futuro perfecto,condicional compuesto,subjuntivo presente,subjuntivo imperfecto,subjuntivo futuro,subjuntivo perfecto,subjuntivo pluscuamperfecto,subjuntivo futuro perfecto,imperativo afirmativo,imperativo negativo
ser,"['soy', 'eres', 'es', 'somos', 'sois', 'son']","['era', 'eras', 'era', 'éramos', 'erais', 'eran']","['fui', 'fuiste', 'fue', 'fuimos', 'fuisteis', 'fueron']","['seré', 'serás', 'será', 'seremos', 'seréis', 'serán']","['sería', 'serías', 'sería', 'seríamos', 'seríais', 'serían']","['he sido', 'has sido', 'ha sido', 'hemos sido', 'habéis sido', 'han sido']","['había sido', 'habías sido', 'había sido', 'habíamos sido', 'habíais sido', 'habían sido']","['hube sido', 'hubiste sido', 'hubo sido', 'hubimos sido', 'hubisteis sido', 'hubieron sido']","['habré sido', 'habrás sido', 'habrá sido', 'habremos sido', 'habréis sido', 'habrán sido']","['habría sido', 'habrías sido', 'habría sido', 'habríamos sido', 'habríais sido', 'habrían sido']","['sea', 'seas', 'sea', 'seamos', 'seáis', 'sean']","['fuera/fuese', 'fueras/fueses', 'fuera/fuese', 'fuéramos/fuésemos', 'fuerais/fueseis', 'fueran/fuesen']","['fuere', 'fueres', 'fuere', 'fuéremos', 'fuereis', 'fueren']","['haya sido', 'hayas sido', 'haya sido', 'hayamos sido', 'hayáis sido', 'hayan sido']","['hubiera/hubiese sido', 'hubieras/hubieses sido', 'hubiera/hubiese sido', 'hubiéramos/hubiésemos sido', 'hubierais/hubieseis sido', 'hubieran/hubiesen sido']","['hubiere sido', 'hubieres sido', 'hubiere sido', 'hubiéremos sido', 'hubiereis sido', 'hubieren sido']","['sé', 'sea', 'seamos', 'sed', 'sean']","['no seas', 'no sea', 'no seamos', 'no seáis', 'no sean']"
estar,"['estoy', 'estás', 'está', 'estamos', 'estáis', 'están']","['estaba', 'estabas', 'estaba', 'estábamos', 'estabais', 'estaban']","['estuve', 'estuviste', 'estuvo', 'estuvimos', 'estuvisteis', 'estuvieron']","['estaré', 'estarás', 'estará', 'estaremos', 'estaréis', 'estarán']","['estaría', 'estarías', 'estaría', 'estaríamos', 'estaríais', 'estarían']","['he estado', 'has estado', 'ha estado', 'hemos estado', 'habéis estado', 'han estado']","['había estado', 'habías estado', 'había estado', 'habíamos estado', 'habíais estado', 'habían estado']","['hube estado', 'hubiste estado', 'hubo estado', 'hubimos estado', 'hubisteis estado', 'hubieron estado']","['habré estado', 'habrás estado', 'habrá estado', 'habremos estado', 'habréis estado', 'habrán estado']","['habría estado', 'habrías estado', 'habría estado', 'habríamos estado', 'habríais estado', 'habrían estado']","['esté', 'estés', 'esté', 'estemos', 'estéis', 'estén']","['estuviera/estuviese', 'estuvieras/estuvieses', 'estuviera/estuviese', 'estuviéramos/estuviésemos', 'estuvierais/estuvieseis', 'estuvieran/estuviesen']","['estuviere', 'estuvieres', 'estuviere', 'estuviéremos', 'estuviereis', 'estuvieren']","['haya estado', 'hayas estado', 'haya estado', 'hayamos estado', 'hayáis estado', 'hayan estado']","['hubiera/hubiese estado', 'hubieras/hubieses estado', 'hubiera/hubiese estado', 'hubiéramos/hubiésemos estado', 'hubierais/hubieseis estado', 'hubieran/hubiesen estado']","['hubiere estado', 'hubieres estado', 'hubiere estado', 'hubiéremos estado', 'hubiereis estado', 'hubieren estado']","['está', 'esté', 'estemos', 'estad', 'estén']","['no estés', 'no esté', 'no estemos', 'no estéis', 'no estén']"
tener,"['tengo', 'tienes', 'tiene', 'tenemos', 'tenéis', 'tienen']","['tenía', 'tenías', 'tenía', 'teníamos', 'teníais', 'tenían']","['tuve', 'tuviste', 'tuvo', 'tuvimos', 'tuvisteis', 'tuvieron']","['tendré', 'tendrás', 'tendrá', 'tendremos', 'tendréis', 'tendrán']","['tendría', 'tendrías', 'tendría', 'tendríamos', 'tendríais', 'tendrían']","['he tenido', 'has tenido', 'ha tenido', 'hemos tenido', 'habéis tenido', 'han tenido']","['había tenido', 'habías tenido', 'había tenido', 'habíamos tenido', 'habíais tenido', 'habían tenido']","['hube tenido', 'hubiste tenido', 'hubo tenido', 'hubimos tenido', 'hubisteis tenido', 'hubieron tenido']","['habré tenido', 'habrás tenido', 'habrá tenido', 'habremos tenido', 'habréis tenido', 'habrán tenido']","['habría tenido', 'habrías tenido', 'habría tenido', 'habríamos tenido', 'habríais tenido', 'habrían tenido']","['tenga', 'tengas', 'tenga', 'tengamos', 'tengáis', 'tengan']","['tuviera/tuviese', 'tuvieras/tuvieses', 'tuviera/tuviese', 'tuviéramos/tuviésemos', 'tuvierais/tuvieseis', 'tuvieran/tuviesen']","['tuviere', 'tuvieres', 'tuviere', 'tuviéremos', 'tuviereis', 'tuvieren']","['haya tenido', 'hayas tenido', 'haya tenido', 'hayamos tenido', 'hayáis tenido', 'hayan tenido']","['hubiera/hubiese tenido', 'hubieras/hubieses tenido', 'hubiera/hubiese tenido', 'hubiéramos/hubiésemos tenido', 'hubierais/hubieseis tenido', 'hubieran/hubiesen tenido']","['hubiere tenido', 'hubieres tenido', 'hubiere tenido', 'hubiéremos tenido', 'hubiereis tenido', 'hubieren tenido']","['ten', 'tenga', 'tengamos', 'tened', 'tengan']","['no tengas', 'no tenga', 'no tengamos', 'no tengáis', 'no tengan']"
saber,"['sé', 'sabes', 'sabe', 'sabemos', 'sabéis', 'saben']","['sabía', 'sabías', 'sabía', 'sabíamos', 'sabíais', 'sabían']","['supe', 'supiste', 'supo', 'supimos', 'supisteis', 'supieron']","['sabré', 'sabrás', 'sabrá', 'sabremos', 'sabréis', 'sabrán']","['sabría', 'sabrías', 'sabría', 'sabríamos', 'sabríais', 'sabrían']","['he sabido', 'has sabido', 'ha sabido', 'hemos sabido', 'habéis sabido', 'han sabido']","['había sabido', 'habías sabido', 'había sabido', 'habíamos sabido', 'habíais sabido', 'habían sabido']","['hube sabido', 'hubiste sabido', 'hubo sabido', 'hubimos sabido', 'hubisteis sabido', 'hubieron sabido']","['habré sabido', 'habrás sabido', 'habrá sabido', 'habremos sabido', 'habréis sabido', 'habrán sabido']","['habría sabido', 'habrías sabido', 'habría sabido', 'habríamos sabido', 'habríais sabido', 'habrían sabido']","['sepa', 'sepas', 'sepa', 'sepamos', 'sepáis', 'sepan']","['supiera/supiese', 'supieras/supieses', 'supiera/supiese', 'supiéramos/supiésemos', 'supierais/supieseis', 'supieran/supiesen']","['supiere', 'supieres', 'supiere', 'supiéremos', 'supiereis', 'supieren']","['haya sabido', 'hayas sabido', 'haya sabido', 'hayamos sabido', 'hayáis sabido', 'hayan sabido']","['hubiera/hubiese sabido', 'hubieras/hubieses sabido', 'hubiera/hubiese sabido', 'hubiéramos/hubiésemos sabido', 'hubierais/hubieseis sabido', 'hubieran/hubiesen sabido']","['hubiere sabido', 'hubieres sabido', 'hubiere sabido', 'hubiéremos sabido', 'hubiereis sabido', 'hubieren sabido']","['sabe', 'sepa', 'sepamos', 'sabed', 'sepan']","['no sepas', 'no sepa', 'no sepamos', 'no sepáis', 'no sepan']"
hacer,"['hago', 'haces', 'hace', 'hacemos', 'hacéis', 'hacen']","['hacía', 'hacías', 'hacía', 'hacíamos', 'hacíais', 'hacían']","['hice', 'hiciste', 'hizo', 'hicimos', 'hicisteis', 'hicieron']","['haré', 'harás', 'hará', 'haremos', 'haréis', 'harán']","['haría', 'harías', 'haría', 'haríamos', 'haríais', 'harían']","['he hecho', 'has hecho', 'ha hecho', 'hemos hecho', 'habéis hecho', 'han hecho']","['había hecho', 'habías hecho', 'había hecho', 'habíamos hecho', 'habíais hecho', 'habían hecho']","['hube hecho', 'hubiste hecho', 'hubo hecho', 'hubimos hecho', 'hubisteis hecho', 'hubieron hecho']","['habré hecho', 'habrás hecho', 'habrá hecho', 'habremos hecho', 'habréis hecho', 'habrán hecho']","['habría hecho', 'habrías hecho', 'habría hecho', 'habríamos hecho', 'habríais hecho', 'habrían hecho']","['haga', 'hagas', 'haga', 'hagamos', 'hagáis', 'hagan']","['hiciera/hiciese', 'hicieras/hicieses', 'hiciera/hiciese', 'hiciéramos/hiciésemos', 'hicierais/hicieseis', 'hicieran/hiciesen']","['hiciere', 'hicieres', 'hiciere', 'hiciéremos', 'hiciereis', 'hicieren']","['haya hecho', 'hayas hecho', 'haya hecho', 'hayamos hecho', 'hayáis hecho', 'hayan hecho']","['hubiera/hubiese hecho', 'hubieras/hubieses hecho', 'hubiera/hubiese hecho', 'hubiéramos/hubiésemos hecho', 'hubierais/hubieseis hecho', 'hubieran/hubiesen hecho']","['hubiere hecho', 'hubieres hecho', 'hubiere hecho', 'hubiéremos hecho', 'hubiereis hecho', 'hubieren hecho']","['haz', 'haga', 'hagamos', 'haced', 'hagan']","['no hagas', 'no haga', 'no hagamos', 'no hagáis', 'no hagan']"
comer,"['como', 'comes', 'come', 'comemos', 'coméis', 'comen']","['comía', 'comías', 'comía', 'comíamos', 'comíais', 'comían']","['comí', 'comiste', 'comió', 'comimos', 'comisteis', 'comieron']","['comeré', 'comerás', 'comerá', 'comeremos', 'comeréis', 'comerán']","['comería', 'comerías', 'comería', 'comeríamos', 'comeríais', 'comerían']","['he comido', 'has comido', 'ha comido', 'hemos comido', 'habéis comido', 'han comido']","['había comido', 'habías comido', 'había comido', 'habíamos comido', 'habíais comido', 'habían comido']","['hube comido', 'hubiste comido', 'hubo comido', 'hubimos comido', 'hubisteis comido', 'hubieron comido']","['habré comido', 'habrás comido', 'habrá comido', 'habremos comido', 'habréis comido', 'habrán comido']","['habría comido', 'habrías comido', 'habría comido', 'habríamos comido', 'habríais comido', 'habrían comido']","['coma', 'comas', 'coma', 'comamos', 'comáis', 'coman']","['comiera/comiese', 'comieras/comieses', 'comiera/comiese', 'comiéramos/comiésemos', 'comierais/comieseis', 'comieran/comiesen']","['comiere', 'comieres', 'comiere', 'comiéremos', 'comiereis', 'comieren']","['haya comido', 'hayas comido', 'haya comido', 'hayamos comido', 'hayáis comido', 'hayan comido']","['hubiera/hubiese comido', 'hubieras/hubieses comido', 'hubiera/hubiese comido', 'hubiéramos/hubiésemos comido', 'hubierais/hubieseis comido', 'hubieran/hubiesen comido']","['hubiere comido', 'hubieres comido', 'hubiere comido', 'hubiéremos comido', 'hubiereis comido', 'hubieren comido']","['come', 'coma', 'comamos', 'comed', 'coman']","['no comas', 'no coma', 'no comamos', 'no comáis', 'no coman']"
tomar,"['tomo', 'tomas', 'toma', 'tomamos', 'tomáis', 'toman']","['tomaba', 'tomabas', 'tomaba', 'tomábamos', 'tomabais', 'tomaban']","['tomé', 'tomaste', 'tomó', 'tomamos', 'tomasteis', 'tomaron']","['tomaré', 'tomarás', 'tomará', 'tomaremos', 'tomaréis', 'tomarán']","['tomaría', 'tomarías', 'tomaría', 'tomaríamos', 'tomaríais', 'tomarían']","['he tomado', 'has tomado', 'ha tomado', 'hemos tomado', 'habéis tomado', 'han tomado']","['había tomado', 'habías tomado', 'había tomado', 'habíamos tomado', 'habíais tomado', 'habían tomado']","['hube tomado', 'hubiste tomado', 'hubo tomado', 'hubimos tomado', 'hubisteis tomado', 'hubieron tomado']","['habré tomado', 'habrás tomado', 'habrá tomado', 'habremos tomado', 'habréis tomado', 'habrán tomado']","['habría tomado', 'habrías tomado', 'habría tomado', 'habríamos tomado', 'habríais tomado', 'habrían tomado']","['tome', 'tomes', 'tome', 'tomemos', 'toméis', 'tomen']","['tomara/tomase', 'tomaras/tomases', 'tomara/tomase', 'tomáramos/tomásemos', 'tomarais/tomaseis', 'tomaran/tomasen']","['tomare', 'tomares', 'tomare', 'tomáremos', 'tomareis', 'tomaren']","['haya tomado', 'hayas tomado', 'haya tomado', 'hayamos tomado', 'hayáis tomado', 'hayan tomado']","['hubiera/hubiese tomado', 'hubieras/hubieses tomado', 'hubiera/hubiese tomado', 'hubiéramos/hubiésemos tomado', 'hubierais/hubieseis tomado', 'hubieran/hubiesen tomado']","['hubiere tomado', 'hubieres tomado', 'hubiere tomado', 'hubiéremos tomado', 'hubiereis tomado', 'hubieren tomado']","['toma', 'tome', 'tomemos', 'tomad', 'tomen']","['no tomes', 'no tome', 'no tomemos', 'no toméis', 'no tomen']"
ayudar,"['ayudo', 'ayudas', 'ayuda', 'ayudamos', 'ayudáis', 'ayudan']","['ayudaba', 'ayudabas', 'ayudaba', 'ayudábamos', 'ayudabais', 'ayudaban']","['ayudé', 'ayudaste', 'ayudó', 'ayudamos', 'ayudasteis', 'ayudaron']","['ayudaré', 'ayudarás', 'ayudará', 'ayudaremos', 'ayudaréis', 'ayudarán']","['ayudaría', 'ayudarías', 'ayudaría', 'ayudaríamos', 'ayudaríais', 'ayudarían']","['he ayudado', 'has ayudado', 'ha ayudado', 'hemos ayudado', 'habéis ayudado', 'han ayudado']","['había ayudado', 'habías ayudado', 'había ayudado', 'habíamos ayudado', 'habíais ayudado', 'habían ayudado']","['hube ayudado', 'hubiste ayudado', 'hubo ayudado', 'hubimos ayudado', 'hubisteis ayudado', 'hubieron ayudado']","['habré ayudado', 'habrás ayudado', 'habrá ayudado', 'habremos ayudado', 'habréis ayudado', 'habrán ayudado']","['habría ayudado', 'habrías ayudado', 'habría ayudado', 'habríamos ayudado', 'habríais ayudado', 'habrían ayudado']","['ayude', 'ayudes', 'ayude', 'ayudemos', 'ayudéis', 'ayuden']","['ayudara/ayudase', 'ayudaras/ayudases', 'ayudara/ayudase', 'ayudáramos/ayudásemos', 'ayudarais/ayudaseis', 'ayudaran/ayudasen']","['ayudare', 'ayudares', 'ayudare', 'ayudáremos', 'ayudareis', 'ayudaren']","['haya ayudado', 'hayas ayudado', 'haya ayudado', 'hayamos ayudado', 'hayáis ayudado', 'hayan ayudado']","['hubiera/hubiese ayudado', 'hubieras/hubieses ayudado', 'hubiera/hubiese ayudado', 'hubiéramos/hubiésemos ayudado', 'hubierais/hubieseis ayudado', 'hubieran/hubiesen ayudado']","['hubiere ayudado', 'hubieres ayudado', 'hubiere ayudado', 'hubiéremos ayudado', 'hubiereis ayudado', 'hubieren ayudado']","['ayuda', 'ayude', 'ayudemos', 'ayudad', 'ayuden']","['no ayudes', 'no ayude', 'no ayudemos', 'no ayudéis', 'no ayuden']"
hablar,"['hablo', 'hablas', 'habla', 'hablamos', 'habláis', 'hablan']","['hablaba', 'hablabas', 'hablaba', 'hablábamos', 'hablabais', 'hablaban']","['hablé', 'hablaste', 'habló', 'hablamos', 'hablasteis', 'hablaron']","['hablaré', 'hablarás', 'hablará', 'hablaremos', 'hablaréis', 'hablarán']","['hablaría', 'hablarías', 'hablaría', 'hablaríamos', 'hablaríais', 'hablarían']","['he hablado', 'has hablado', 'ha hablado', 'hemos hablado', 'habéis hablado', 'han hablado']","['había hablado', 'habías hablado', 'había hablado', 'habíamos hablado', 'habíais hablado', 'habían hablado']","['hube hablado', 'hubiste hablado', 'hubo hablado', 'hubimos hablado', 'hubisteis hablado', 'hubieron hablado']","['habré hablado', 'habrás hablado', 'habrá hablado', 'habremos hablado', 'habréis hablado', 'habrán hablado']","['habría hablado', 'habrías hablado', 'habría hablado', 'habríamos hablado', 'habríais hablado', 'habrían hablado']","['hable', 'hables', 'hable', 'hablemos', 'habléis', 'hablen']","['hablara/hablase', 'hablaras/hablases', 'hablara/hablase', 'habláramos/hablásemos', 'hablarais/hablaseis', 'hablaran/hablasen']","['hablare', 'hablares', 'hablare', 'habláremos', 'hablareis', 'hablaren']","['haya hablado', 'hayas hablado', 'haya hablado', 'hayamos hablado', 'hayáis hablado', 'hayan hablado']","['hubiera/hubiese hablado', 'hubieras/hubieses hablado', 'hubiera/hubiese hablado', 'hubiéramos/hubiésemos hablado', 'hubierais/hubieseis hablado', 'hubieran/hubiesen hablado']","['hubiere hablado', 'hubieres hablado', 'hubiere hablado', 'hubiéremos hablado', 'hubiereis hablado', 'hubieren hablado']","['habla', 'hable', 'hablemos', 'hablad', 'hablen']","['no hables', 'no hable', 'no hablemos', 'no habléis', 'no hablen']"
decir,"['digo', 'dices', 'dice', 'decimos', 'decís', 'dicen']","['decía', 'decías', 'decía', 'decíamos', 'decíais', 'decían']","['dije', 'dijiste', 'dijo', 'dijimos', 'dijisteis', 'dijeron']","['diré', 'dirás', 'dirá', 'diremos', 'diréis', 'dirán']","['diría', 'dirías', 'diría', 'diríamos', 'diríais', 'dirían']","['he dicho', 'has dicho', 'ha dicho', 'hemos dicho', 'habéis dicho', 'han dicho']","['había dicho', 'habías dicho', 'había dicho', 'habíamos dicho', 'habíais dicho', 'habían dicho']","['hube dicho', 'hubiste dicho', 'hubo dicho', 'hubimos dicho', 'hubisteis dicho', 'hubieron dicho']","['habré dicho', 'habrás dicho', 'habrá dicho', 'habremos dicho', 'habréis dicho', 'habrán dicho']","['habría dicho', 'habrías dicho', 'habría dicho', 'habríamos dicho', 'habríais dicho', 'habrían dicho']","['diga', 'digas', 'diga', 'digamos', 'digáis', 'digan']","['dijera/dijese', 'dijeras/dijeses', 'dijera/dijese', 'dijéramos/dijésemos', 'dijerais/dijeseis', 'dijeran/dijesen']","['dijere', 'dijeres', 'dijere', 'dijéremos', 'dijereis', 'dijeren']","['haya dicho', 'hayas dicho', 'haya dicho', 'hayamos dicho', 'hayáis dicho', 'hayan dicho']","['hubiera/hubiese dicho', 'hubieras/hubieses dicho', 'hubiera/hubiese dicho', 'hubiéramos/hubiésemos dicho', 'hubierais/hubieseis dicho', 'hubieran/hubiesen dicho']","['hubiere dicho', 'hubieres dicho', 'hubiere dicho', 'hubiéremos dicho', 'hubiereis dicho', 'hubieren dicho']","['di', 'diga', 'digamos', 'decid', 'digan']","['no digas', 'no diga', 'no digamos', 'no digáis', 'no digan']"
ir,"['voy', 'vas', 'va', 'vamos', 'vais', 'van']","['iba', 'ibas', 'iba', 'íbamos', 'ibais', 'iban']","['fui', 'fuiste', 'fue', 'fuimos', 'fuisteis', 'fueron']","['iré', 'irás', 'irá', 'iremos', 'iréis', 'irán']","['iría', 'irías', 'iría', 'iríamos', 'iríais', 'irían']","['he ido', 'has ido', 'ha ido', 'hemos ido', 'habéis ido', 'han ido']","['había ido', 'habías ido', 'había ido', 'habíamos ido', 'habíais ido', 'habían ido']","['hube ido', 'hubiste ido', 'hubo ido', 'hubimos ido', 'hubisteis ido', 'hubieron ido']","['habré ido', 'habrás ido', 'habrá ido', 'habremos ido', 'habréis ido', 'habrán ido']","['habría ido', 'habrías ido', 'habría ido', 'habríamos ido', 'habríais ido', 'habrían ido']","['vaya', 'vayas', 'vaya', 'vayamos', 'vayáis', 'vayan']","['fuera/fuese', 'fueras/fueses', 'fuera/fuese', 'fuéramos/fuésemos', 'fuerais/fueseis', 'fueran/fuesen']","['fuere', 'fueres', 'fuere', 'fuéremos', 'fuereis', 'fueren']","['haya ido', 'hayas ido', 'haya ido', 'hayamos ido', 'hayáis ido', 'hayan ido']","['hubiera/hubiese ido', 'hubieras/hubieses ido', 'hubiera/hubiese ido', 'hubiéramos/hubiésemos ido', 'hubierais/hubieseis ido', 'hubieran/hubiesen ido']","['hubiere ido', 'hubieres ido', 'hubiere ido', 'hubiéremos ido', 'hubiereis ido', 'hubieren ido']","['ve', 'vaya', 'vayamos', 'id', 'vayan']","['no vayas', 'no vaya', 'no vayamos', 'no vayáis', 'no vayan']"
